name,channels,tr_us,arrival,hbf_span_ns,mqsim_span_ns,gap_pct,hbf_mean_ns,mqsim_device_mean_us,mqsim_host_mean_us,mqsim_execution_util,hbf_nominal_array_duty_factor,requests,payload_bytes
c1_t1_isolated,1,1,isolated,3151032,3151336.0000358173,0.00964763403916713,1032.0,1,1,0.020708,0.020304362392259977,64,262144
c1_t1_burst,1,1,burst,64032,85126.00000005329,32.94290354830911,32217.0,42,42,0.757959,0.9841308894082913,64,262144
c1_t15_isolated,1,15,isolated,3165032,3165335.999939732,0.009604956276332288,15032.0,15,15,0.303594,0.30321866614108767,64,262144
c1_t15_burst,1,15,burst,960032,981125.9999968646,2.1972184257258665,487217.0,497,497,0.978775,0.9989261543840372,64,262144
c4_t1_isolated,4,1,isolated,3151032,3151336.0000358173,0.00964763403916713,1032.0,1,1,0.005177,0.005076090598064994,64,262144
c4_t1_burst,4,1,burst,16080,21316.000000002743,32.56218905474342,8241.0,11,11,0.731314,0.936768149882904,64,262144
c4_t15_isolated,4,15,isolated,3165032,3165335.999939732,0.009604956276332288,15032.0,15,15,0.075898,0.07580466653527192,64,262144
c4_t15_burst,4,15,burst,240080,245316.00000012334,2.1809396868224473,127241.0,130,130,0.975657,0.9955201592832255,64,262144
